,Product_Name,Rating,Resolution
54,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
55,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
56,"SAMSUNG Galaxy M12 (Blue, 128 GB)",4.2,48MP Rear Camera
57,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)",4.1,8MP Rear Camera | 5MP Front Camera
58,"SAMSUNG Galaxy M32 (Light Blue, 64 GB)",4.2,64MP + 8MP + 2MP + 2MP | 20MP Front Camera
59,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
60,"SAMSUNG Galaxy M32 5G (Slate Black, 128 GB)",4.2,48MP + 8MP + 5MP + 2MP | 13MP Front Camera
61,SAMSUNG Metro 313 Dual Sim,4.3,0.3MP Rear Camera
62,"SAMSUNG Galaxy M12 (Black, 64 GB)",4.2,48MP Rear Camera
63,"SAMSUNG Galaxy M11 (Black, 64 GB)",4.2,13MP + 5MP + 2MP | 8MP Front Camera
64,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)",4.2,48MP + 5MP + 2MP + 2MP | 8MP Front Camera
65,"SAMSUNG Galaxy M12 (White, 128 GB)",4.2,48MP Rear Camera
66,"SAMSUNG Galaxy M32 (Black, 64 GB)",4.2,64MP + 8MP + 2MP + 2MP | 20MP Front Camera
67,"SAMSUNG Galaxy M12 (Black, 128 GB)",4.2,48MP Rear Camera
68,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)",4.3,64MP + 12MP + 5MP + 5MP | 32MP Front Camera
69,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)",4.3,48MP + 5MP + 2MP | 8MP Front Camera
70,"SAMSUNG Galaxy M12 (White, 64 GB)",4.2,48MP Rear Camera
71,SAMSUNG GURU GT,4.1,800 mAh Battery
